Sand,Wellbore,Longitude,Latitude
BT,ACA-001BT,-76.87779222,-0.675271557
TS,ACA-001TS,-76.87779222,-0.675271557
TI,ACA-001TI,-76.87779222,-0.675271557
HS,ACA-001HS,-76.87779222,-0.675271557
HI,ACA-001HI,-76.87779222,-0.675271557
BT,ACA-002BT,-76.89167573,-0.604752162
HS,ACA-002HS,-76.89167573,-0.604752162
HI,ACA-002HI,-76.89167573,-0.604752162
UI,ACA-003UI,-76.87651016,-0.728702793
TS,ACA-003TS,-76.87651016,-0.728702793
TI,ACA-003TI,-76.87651016,-0.728702793
HS,ACA-003HS,-76.87651016,-0.728702793
HI,ACA-003HI,-76.87651016,-0.728702793
BT,ACA-004BT,-76.88521449,-0.585498688
TS,ACA-004TS,-76.88521449,-0.585498688
TI,ACA-004TI,-76.88521449,-0.585498688
HS,ACA-004HS,-76.88521449,-0.585498688
US,ACA-005US,-76.88600538,-0.613058662
UI,ACA-005UI,-76.88600538,-0.613058662
HS,ACA-005HS,-76.88600538,-0.613058662
HI,ACA-005HI,-76.88600538,-0.613058662
BT,ACA-007BT,-76.8761345,-0.695589252
UI,ACA-007UI,-76.87611887,-0.695605897
TI,ACA-007TI,-76.87611322,-0.695611957
HS,ACA-007HS,-76.87610989,-0.695615576
HI,ACA-007HI,-76.87610873,-0.695616752
UI,ACA-008UI,-76.87627597,-0.644123724
HS,ACA-008HS,-76.87627597,-0.644123724
HI,ACA-008R1HI,-76.87837384,-0.645383728
UI,ACA-009UI,-76.87704849,-0.668294719
TS,ACA-009TS,-76.87704849,-0.668294719
TI,ACA-009TI,-76.87704849,-0.668294719
HS,ACA-009HS,-76.87704849,-0.668294719
HI,ACA-009HI,-76.87704849,-0.668294719
UI,ACA-010UI,-76.88628743,-0.638220761
TS,ACA-010TS,-76.88628743,-0.638220761
TI,ACA-010TI,-76.88628743,-0.638220761
HS,ACA-010HS,-76.88628743,-0.638220761
BT,ACA-011BT,-76.87611361,-0.685166425
US,ACA-011US,-76.87611361,-0.685166425
UI,ACA-011UI,-76.87611361,-0.685166425
TS,ACA-011TS,-76.87611361,-0.685166425
TI,ACA-011TI,-76.87611361,-0.685166425
HS,ACA-011HS,-76.87611361,-0.685166425
HI,ACA-011HI,-76.87611361,-0.685166425
UI,ACA-012UI,-76.88541608,-0.701504121
TI,ACA-012TI,-76.88541608,-0.701504121
UI,ACA-013UI,-76.88545003,-0.712181338
TI,ACA-013TI,-76.88545003,-0.712181338
HI,ACA-013IHI,-76.88545003,-0.712181338
UI,ACA-015UI,-76.88372961,-0.735480639
TS,ACA-015TS,-76.88372961,-0.735480639
TI,ACA-015TI,-76.88372961,-0.735480639
HS,ACA-015HS,-76.88372961,-0.735480639
HI,ACA-015HI,-76.88372961,-0.735480639
BT,ACA-017BT,-76.87991824,-0.670217836
TI,ACA-017TI,-76.87991824,-0.670217836
BT,ACA-018BT,-76.86832859,-0.690184437
US,ACA-018US,-76.86832859,-0.690184437
UI,ACA-018UI,-76.86832859,-0.690184437
TI,ACA-018TI,-76.86832859,-0.690184437
TI,ACA-019BTI,-76.8723656,-0.678081704
HS,ACA-019BHS,-76.8723656,-0.678081704
BT,ACA-020BT,-76.87097806,-0.722901669
TS,ACA-020TS,-76.87097806,-0.722901669
TI,ACA-020TI,-76.87097806,-0.722901669
BT,ACA-021BT,-76.87656944,-0.717751499
UI,ACA-021UI,-76.87656944,-0.717751499
TI,ACA-021TI,-76.87656944,-0.717751499
HI,ACA-021HI,-76.87656944,-0.717751499
TS,ACA-022TS,-76.87622404,-0.740489705
TI,ACA-022TI,-76.87622404,-0.740489705
US,ACA-024US,-76.87958065,-0.682302233
UI,ACA-024UI,-76.87958065,-0.682302233
HS,ACA-024HS,-76.87958065,-0.682302233
HI,ACA-024HI,-76.87958065,-0.682302233
UI,ACA-025UI,-76.8781706,-0.689742972
HS,ACA-025HS,-76.8781706,-0.689742972
HI,ACA-025HI,-76.8781706,-0.689742972
BT,ACA-026BT,-76.87443154,-0.660212698
HS,ACA-026HS,-76.87443154,-0.660212698
BT,ACA-029BT,-76.8722352,-0.671804131
US,ACA-029US,-76.8722352,-0.671804131
UI,ACA-029UI,-76.8722352,-0.671804131
HI,ACA-029HI,-76.8722352,-0.671804131
UI,ACA-030UI,-76.88080988,-0.699353898
TI,ACA-030TI,-76.88080988,-0.699353898
HS,ACA-030HS,-76.88080988,-0.699353898
HI,ACA-030HI,-76.88080988,-0.699353898
UI,ACA-031UI,-76.88173639,-0.653801576
HS,ACA-031HS,-76.88173639,-0.653801576
HI,ACA-031HI,-76.88173639,-0.653801576
UI,ACA-032UI,-76.87839059,-0.66145362
HS,ACA-032HS,-76.87839059,-0.66145362
HI,ACA-032HI,-76.87839059,-0.66145362
UI,ACA-033UI,-76.87307908,-0.665810479
TS,ACA-033TS,-76.87307908,-0.665810479
TI,ACA-033TI,-76.87307908,-0.665810479
UI,ACA-034UI,-76.87954766,-0.649747789
HS,ACA-034HS,-76.87954766,-0.649747789
HI,ACA-034HI,-76.87954766,-0.649747789
UI,ACA-036UI,-76.87668858,-0.712527646
TI,ACA-036TI,-76.87668858,-0.712527646
HS,ACA-036HS,-76.87668858,-0.712527646
HI,ACA-036HI,-76.87668858,-0.712527646
HI,ACA-038HI,-76.87094475,-0.693588787
TI,ACA-040TI,-76.89172394,-0.596041659
HS,ACA-040HS,-76.89172394,-0.596041659
HI,ACA-040HI,-76.89172394,-0.596041659
UI,ACA-041UI,-76.88352579,-0.684651698
TI,ACA-041TI,-76.88352579,-0.684651698
BT,ACA-042BT,-76.8694872,-0.685216054
UI,ACA-042UI,-76.8694872,-0.685216054
HS,ACA-042HS,-76.8694872,-0.685216054
HI,ACA-042HI,-76.8694872,-0.685216054
UI,ACA-043UI,-76.88179283,-0.694133872
TS,ACA-043TS,-76.88179283,-0.694133872
TI,ACA-043TI,-76.88179283,-0.694133872
HS,ACA-045HS,-76.87020555,-0.656137963
HI,ACA-045IHI,-76.87020555,-0.656137963
