Well,WO,Sand,Wellbore,Zone,Date,Activity,BFPD_Before,BOPD_Before,BSW_Before,BFPD_After,BOPD_After,BSW_After,Pr (psi),Performance,Kabs (md),H (ft)
ACAG-076,,UI,ACAG-076UI,central,2016-01-17,REPERF,261.00,159.00,39.00,281.00,169.00,40.00,1100.00,NOT SUCCESSFUL,445,26
YCAG-036,2,TI,YCAG-036TI,north,2016-01-17,REPERF,190.00,152.00,20.00,190.00,113.00,30.00,2393.00,NOT SUCCESSFUL,138,21
ACSD-015,,UI,ACSD-015UI,south,2016-02-05,REPERF,609.00,463.00,24.00,1070.00,792.00,26.00,2400.00,SUCCESSFUL,117,46
ACAQ-117 ,,TI,ACAQ-117 TI,central,2016-03-03,REPERF,170.00,156.00,8.00,108.00,54.00,50.00,1150.00,NOT SUCCESSFUL,162,32
ACAC-058,,TI,ACAC-058TI,central,2016-03-15,REPERF,109.00,105.00,4.00,946.00,908.00,4.00,1100.00,SUCCESSFUL,913,35
ACAQ-173,2,HI,ACAQ-173HI,central,2016-08-12,ADD INTERVALS,196.00,194.00,1.00,474.00,465.00,2.00,4200.00,SUCCESSFUL,81,32
YCAF-029S1,,UI,YCAF-029S1UI,north,2016-04-01,ADD INTERVALS,566.00,441.00,22.00,1650.00,990.00,40.00,2000.00,SUCCESSFUL,1132,50
ACAF-136,,HS,ACAF-136HS,central,2016-06-10,ADD INTERVALS,116.00,93.00,20.00,680.00,326.00,52.00,4200.00,SUCCESSFUL,617,19
ACAH-083,,TI,ACAH-083TI,central,2016-04-12,ADD INTERVALS,132.00,129.00,2.00,50.00,40.00,20.00,1150.00,NOT SUCCESSFUL,261,41
PTLA-001,,UI,PTLA-001UI,north,2016-04-19,REPERF,238.00,231.00,1.00,374.00,370.00,1.00,2800.00,SUCCESSFUL,98,25
YCAF-030,,UI,YCAF-030UI,north,2016-05-19,ADD INTERVALS,696.00,362.00,48.00,2021.00,849.00,58.00,2000.00,SUCCESSFUL,811,48
ACAG-077,,UI,ACAG-077UI,central,2016-10-08,ADD INTERVALS,153.00,148.00,3.00,263.00,247.00,6.00,1000.00,SUCCESSFUL,721,34
ACAF-073,4,UI,ACAF-073UI,central,2016-11-20,ADD INTERVALS,110.00,109.00,1.00,170.00,168.00,1.00,1000.00,SUCCESSFUL,480,30
ACAP-102,,HS,ACAP-102HS,central,2016-12-17,ADD INTERVALS,150.00,142.00,5.00,130.00,104.00,20.00,2900.00,NOT SUCCESSFUL,26,30
RMYA-002,,TI,RMYA-002TI,south,2016-12-29,REPERF,572.00,229.00,60.00,830.00,166.00,80.00,2500.00,NOT SUCCESSFUL,936,16
CNOC-058,,HS,CNOC-058HS,south,2016-12-26,REPERF,238.00,86.00,64.00,418.00,142.00,66.00,4100.00,SUCCESSFUL,218,18
CLB-004,,UI,CLB-004UI,north,2017-01-17,ADD INTERVALS,344.00,186.00,46.00,160.00,67.00,58.00,890.00,NOT SUCCESSFUL,533,62
YCAG-036,3,TI,YCAG-036TI,north,2017-02-24,REPERF,121.00,48.00,60.00,175.00,33.00,81.00,1800.00,NOT SUCCESSFUL,138,21
ACAK-181,,TI,ACAK-181TI,central,2017-03-13,ADD INTERVALS,462.00,457.00,1.00,490.00,480.00,2.00,1200.00,SUCCESSFUL,253,60
CNOF-055,,UI,CNOF-055UI,south,2017-03-25,REPERF,98.00,96.00,2.00,62.00,58.00,9.00,1300.00,NOT SUCCESSFUL,363,16
ACSC-029,1,HS,ACSC-029HS,south,2017-04-18,REPERF,118.00,71.00,40.00,109.00,57.00,52.00,4100.00,NOT SUCCESSFUL,68,18
ACAH-194,,HS,ACAH-194HS,central,2017-05-30,ADD INTERVALS,100.00,96.00,4.00,222.00,177.00,20.00,3400.00,SUCCESSFUL,50,27
YCAE-028S1,1,UI,YCAE-028S1UI,north,2017-07-15,REPERF,316.00,126.00,60.00,435.00,122.00,72.00,1800.00,NOT SUCCESSFUL,130,24
CLBB-008,,UI,CLBB-008UI,north,2017-07-17,ADD INTERVALS,146.00,134.00,8.00,202.00,182.00,10.00,900.00,SUCCESSFUL,670,80
ACAJ-090,,UI,ACAJ-090UI,central,2017-08-15,ADD INTERVALS,240.00,238.00,1.00,210.00,208.00,1.00,900.00,NOT SUCCESSFUL,956,34
ACAK-124,,UI,ACAK-124UI,central,2017-08-14,REPERF,274.00,271.00,1.00,365.00,361.00,1.00,1800.00,SUCCESSFUL,68,26
CNO-033,,US,CNO-033US,south,2017-09-03,REPERF,90.00,88.00,2.00,52.00,49.00,6.00,1200.00,NOT SUCCESSFUL,112,19
ACSC-031,,TI,ACSC-031TI,south,2017-09-12,ADD INTERVALS,164.00,153.00,7.00,176.00,123.00,30.00,1200.00,NOT SUCCESSFUL,275,40
CHEA-002,,HS,CHEA-002HS,south,2017-11-27,REPERF,100.00,100.00,1.00,118.00,31.00,74.00,2300.00,NOT SUCCESSFUL,62,24
YCAC-041,,UI,YCAC-041UI,north,2017-11-10,ADD INTERVALS,522.00,512.00,2.00,502.00,472.00,6.00,1800.00,NOT SUCCESSFUL,584,38
ACAK-182,,TI,ACAK-182TI,central,2017-11-19,REPERF,270.00,189.00,30.00,322.00,225.00,30.00,1200.00,SUCCESSFUL,220,30
